method,sample_index,repeat,latency_ms,returned
Hybrid,10,1,39.00310001336038,5
BM25,20,0,17.602300038561225,5
d_mmr_1.0_10,96,0,20.66819998435676,5
BM25,19,1,16.66769990697503,5
d_mmr_1.0_10,74,0,19.43430001847446,5
BM25,38,1,15.955799957737327,5
d_mmr_1.0_10,35,1,21.170099964365363,5
BM25,69,1,18.101399997249246,5
d_dense_control,76,1,20.65189997665584,5
d_threshold_0.3,73,0,20.48019994981587,5
d_dense_control,32,2,18.784799962304533,5
BM25,53,0,16.87079994007945,5
d_threshold_0.3,66,2,23.467899998649955,5
d_mmr_1.0_10,86,1,25.66259994637221,5
d_threshold_0.3,59,1,17.79429998714477,5
d_mmr_1.0_10,17,0,19.39709996804595,5
d_threshold_0.3,76,0,18.954999977722764,5
d_threshold_0.3,97,1,22.658800007775426,5
d_dense_control,8,2,18.928700010292232,5
BM25,20,2,17.46850006747991,5
d_threshold_0.3,86,0,19.190200022421777,5
Hybrid,19,0,39.47790001984686,5
d_dense_control,97,1,21.056200028397143,5
d_dense_control,80,0,16.4698000298813,5
d_threshold_0.3,61,2,23.229600046761334,5
BM25,22,1,15.456499997526407,5
d_dense_control,98,2,20.5335000064224,5
d_threshold_0.3,10,0,18.903400050476193,5
d_mmr_1.0_10,44,1,16.414600075222552,5
d_dense_control,27,0,18.245399929583073,5
d_dense_control,79,0,18.46839999780059,5
d_dense_control,66,2,20.756099955178797,5
Hybrid,6,2,36.83320002164692,5
d_threshold_0.3,11,1,17.19410007353872,5
Hybrid,29,0,36.89240000676364,5
d_threshold_0.3,3,0,26.765499962493777,5
Hybrid,73,0,37.13800001423806,5
d_threshold_0.3,1,2,23.604499991051853,5
d_mmr_1.0_10,56,0,24.10869998857379,5
d_threshold_0.3,53,2,18.63440009765327,5
d_mmr_1.0_10,3,1,25.431400048546493,5
d_threshold_0.3,29,1,19.997800001874566,5
d_dense_control,17,0,23.961500031873584,5
d_threshold_0.3,54,1,21.49369998369366,5
Hybrid,12,0,34.4379999442026,5
d_threshold_0.3,38,2,17.899899976328015,5
Hybrid,40,2,36.78800002671778,5
BM25,87,2,16.335700056515634,5
Hybrid,77,1,35.79150000587106,5
d_mmr_1.0_10,76,2,18.199200043454766,5
d_threshold_0.3,56,1,19.67890001833439,5
BM25,19,2,20.21510002668947,5
BM25,55,0,18.57660000678152,5
d_dense_control,6,0,17.698200070299208,5
d_mmr_1.0_10,37,2,17.905600019730628,5
BM25,15,0,16.29299996420741,5
d_mmr_1.0_10,38,0,21.224900032393634,5
BM25,6,0,17.8012999240309,5
d_threshold_0.3,47,1,19.09940002951771,5
Hybrid,95,1,41.85939999297261,5
d_dense_control,44,2,18.527200096286833,5
BM25,68,1,16.6253000497818,5
Hybrid,61,0,39.15829991456121,5
Hybrid,13,0,36.44190006889403,5
BM25,49,0,15.849400078877807,5
d_threshold_0.3,92,2,20.947700017131865,5
d_dense_control,45,2,20.08459996432066,5
d_threshold_0.3,65,1,18.976000021211803,5
BM25,56,0,16.18819998111576,5
d_dense_control,39,0,23.16350000910461,5
d_threshold_0.3,40,1,20.030500018037856,5
d_dense_control,64,0,17.970200045965612,5
d_dense_control,95,1,22.49969996046275,5
Hybrid,9,1,34.5202999887988,5
Hybrid,13,2,35.428699920885265,5
Hybrid,89,0,35.22049996536225,5
d_threshold_0.3,41,0,19.9807999888435,5
Hybrid,74,0,36.703099962323904,5
Hybrid,76,0,34.88329995889217,5
d_mmr_1.0_10,48,2,21.339100087061524,5
d_dense_control,92,2,20.318099996075034,5
BM25,61,2,16.527800005860627,5
d_dense_control,67,0,18.401899957098067,5
d_threshold_0.3,34,2,16.541399993002415,5
Hybrid,99,2,36.08280001208186,5
BM25,59,2,17.291500000283122,5
d_mmr_1.0_10,20,0,18.289500032551587,5
d_threshold_0.3,79,2,18.478400073945522,5
BM25,7,0,16.459600068628788,5
d_mmr_1.0_10,50,2,21.35289995931089,5
d_mmr_1.0_10,91,1,20.549200009554625,5
d_mmr_1.0_10,74,1,17.27280009072274,5
BM25,85,1,17.93790003284812,5
d_dense_control,49,1,17.09320000372827,5
Hybrid,47,1,35.86509998422116,5
BM25,13,1,17.30639999732375,5
d_threshold_0.3,46,0,18.45360000152141,5
Hybrid,49,1,36.671899957582355,5
d_mmr_1.0_10,60,2,18.683400005102158,5
Hybrid,70,2,35.07119999267161,5
d_dense_control,95,2,21.80180000141263,5
Hybrid,37,1,36.2953000003472,5
Hybrid,98,0,35.06969998124987,5
Hybrid,59,2,35.85630003362894,5
BM25,42,1,16.897199908271432,5
