method,query_id,k,recall,hit_rate,all_evidence_hit,evidence_coverage,mrr,ndcg
bm25,77,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,77,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,77,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,77,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,78,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,78,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,78,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,78,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,78,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,79,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,79,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,79,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,79,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,79,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,81,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,81,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,81,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,81,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,81,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,82,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,82,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,82,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,82,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,82,20,1.0,1.0,1.0,1.0,0.05263157894736842,0.23137821315975915
bm25,83,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,83,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,83,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,83,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,83,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,84,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,84,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,84,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,84,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,84,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,87,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,87,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,87,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,87,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,87,20,1.0,1.0,1.0,1.0,0.07142857142857142,0.2559580248098155
bm25,88,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,88,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,88,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,88,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,88,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,89,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,89,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,89,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,89,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,89,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,90,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,90,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,90,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,90,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,90,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,92,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,92,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,92,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,92,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,92,20,1.0,1.0,1.0,1.0,0.05,0.227670248696953
bm25,93,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,93,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,93,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,93,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,93,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,94,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,94,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,94,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,94,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,94,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,95,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,95,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,95,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,95,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,95,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,97,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,97,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,97,5,1.0,1.0,1.0,1.0,0.25,0.43067655807339306
bm25,97,10,1.0,1.0,1.0,1.0,0.25,0.43067655807339306
bm25,97,20,1.0,1.0,1.0,1.0,0.25,0.43067655807339306
bm25,98,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,98,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,98,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,98,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,98,20,1.0,1.0,1.0,1.0,1.0,1.0
bm25,99,1,0.0,0.0,0.0,0.0,0.0,0.0
bm25,99,3,0.0,0.0,0.0,0.0,0.0,0.0
bm25,99,5,0.0,0.0,0.0,0.0,0.0,0.0
bm25,99,10,0.0,0.0,0.0,0.0,0.0,0.0
bm25,99,20,0.0,0.0,0.0,0.0,0.0,0.0
bm25,100,1,1.0,1.0,1.0,1.0,1.0,1.0
bm25,100,3,1.0,1.0,1.0,1.0,1.0,1.0
bm25,100,5,1.0,1.0,1.0,1.0,1.0,1.0
bm25,100,10,1.0,1.0,1.0,1.0,1.0,1.0
bm25,100,20,1.0,1.0,1.0,1.0,1.0,1.0
dense,1,1,0.0,0.0,0.0,0.0,0.0,0.0
dense,1,3,1.0,1.0,1.0,0.2395693135935397,0.5,0.6309297535714575
dense,1,5,1.0,1.0,1.0,0.46029609690444145,0.5,0.6309297535714575
dense,1,10,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
dense,1,20,1.0,1.0,1.0,1.0,0.5,0.6309297535714575
dense,3,1,0.0,0.0,0.0,0.0,0.0,0.0
dense,3,3,0.0,0.0,0.0,0.0,0.0,0.0
dense,3,5,0.0,0.0,0.0,0.0,0.0,0.0
dense,3,10,0.0,0.0,0.0,0.0,0.0,0.0
dense,3,20,0.0,0.0,0.0,0.0,0.0,0.0
dense,5,1,0.0,0.0,0.0,0.0,0.0,0.0
dense,5,3,0.0,0.0,0.0,0.0,0.0,0.0
dense,5,5,0.0,0.0,0.0,0.0,0.0,0.0
dense,5,10,0.0,0.0,0.0,0.0,0.0,0.0
dense,5,20,1.0,1.0,1.0,0.56198798470781,0.07142857142857142,0.2559580248098155
dense,6,1,0.0,0.0,0.0,0.0,0.0,0.0
dense,6,3,0.0,0.0,0.0,0.0,0.0,0.0
dense,6,5,0.0,0.0,0.0,0.0,0.0,0.0
dense,6,10,1.0,1.0,1.0,0.5562835020845741,0.14285714285714285,0.3333333333333333
