method,query_id,repeat,latency_ms
bm25,47,0,11.40841597225517
dense,60,1,13.295457931235433
hybrid,62,1,41.16675001569092
hybrid,33,1,27.115041040815413
dense,5,1,12.350583099760115
hybrid,68,1,53.14970901235938
bm25,16,1,6.266957963816822
bm25,31,1,11.954208952374756
bm25,78,1,12.117709033191204
bm25,81,1,4.199833027087152
bm25,62,1,10.584125062450767
dense,67,1,12.506166007369757
bm25,12,1,3.2024590764194727
bm25,15,1,10.75666700489819
hybrid,25,1,44.664000044576824
dense,99,1,11.888333014212549
hybrid,95,1,42.89174999576062
dense,57,1,13.057708041742444
dense,63,1,12.266124947927892
bm25,79,1,10.560333030298352
dense,56,1,12.997541925869882
bm25,7,1,15.730250044725835
hybrid,19,1,46.507249935530126
hybrid,73,1,35.019958042539656
dense,92,1,13.979041017591953
hybrid,90,1,36.29504097625613
bm25,43,1,12.59049994405359
bm25,1,1,10.507375001907349
hybrid,3,1,40.68970796652138
dense,45,1,12.28866702876985
dense,39,1,13.608374982140958
dense,27,1,11.431874940171838
dense,41,1,14.124125009402633
hybrid,60,1,48.92916709650308
dense,75,1,12.971916934475303
dense,25,1,12.666875030845404
hybrid,1,1,38.234999985434115
hybrid,14,1,35.20074998959899
bm25,97,1,11.313708033412695
dense,89,1,12.159417034126818
bm25,47,1,11.863083112984896
dense,83,1,17.955166986212134
hybrid,65,1,47.705542063340545
hybrid,94,1,30.008041998371482
hybrid,38,1,35.59933404903859
hybrid,84,1,67.01108301058412
dense,26,1,16.195375006645918
hybrid,83,1,59.49770798906684
dense,12,1,11.950792046263814
dense,88,1,11.769625009037554
hybrid,75,1,30.833791010081768
bm25,67,1,7.375916000455618
bm25,88,1,6.472458015196025
hybrid,89,1,20.25116595905274
hybrid,43,1,46.202083001844585
dense,46,1,12.850666069425642
hybrid,66,1,40.794999920763075
bm25,39,1,15.55566699244082
bm25,94,1,6.1217499896883965
bm25,19,1,12.434541014954448
hybrid,28,1,48.24491695035249
hybrid,82,1,72.55716598592699
dense,8,1,13.4077079128474
dense,78,1,15.846500056795776
dense,1,1,11.36862498242408
dense,16,1,11.918541975319386
bm25,72,1,6.875333026982844
bm25,6,1,7.569833076559007
bm25,61,1,8.80108296405524
hybrid,7,1,55.57320802472532
dense,21,1,12.46441702824086
hybrid,37,1,62.78091704007238
dense,95,1,11.598458979278803
hybrid,74,1,40.74354108888656
bm25,37,1,18.711166107095778
hybrid,100,1,36.98787500616163
bm25,83,1,17.363375052809715
hybrid,45,1,38.38762501254678
bm25,11,1,12.811208027414978
dense,69,1,13.278750004246831
dense,74,1,13.272959040477872
dense,93,1,15.695624984800816
bm25,58,1,13.790707918815315
bm25,46,1,11.775334016419947
dense,66,1,13.42929108068347
hybrid,29,1,32.1211249101907
dense,98,1,12.283832998946309
hybrid,44,1,46.8356249621138
hybrid,39,1,52.24750004708767
bm25,95,1,11.86887500807643
bm25,89,1,3.4172909799963236
bm25,33,1,4.723084042780101
hybrid,41,1,45.60000007040799
bm25,75,1,6.481125019490719
bm25,44,1,12.989957933314145
dense,79,1,13.832874945364892
bm25,57,1,16.980791930109262
hybrid,42,1,52.789209061302245
bm25,92,1,13.890000060200691
dense,35,1,13.264875044114888
hybrid,35,1,45.90379202272743
bm25,99,1,9.203874971717596
bm25,65,1,13.738832902163267
dense,3,1,11.804542038589716
dense,32,1,17.48066593427211
dense,90,1,12.248417013324797
hybrid,70,1,39.515540935099125
hybrid,61,1,35.56729108095169
hybrid,63,1,33.00812502857298
hybrid,97,1,41.27029201481491
bm25,41,1,12.15054199565202
bm25,50,1,10.955333011224866
dense,29,1,12.339125038124621
hybrid,40,1,47.72762500215322
dense,97,1,13.49733304232359
hybrid,46,1,45.35345907788724
bm25,35,1,9.805790963582695
bm25,74,1,10.142875020392239
bm25,42,1,15.005624969489872
hybrid,32,1,49.71025011036545
hybrid,48,1,28.87979196384549
dense,59,1,13.819250045344234
bm25,17,1,7.050790940411389
hybrid,99,1,37.61437500361353
dense,33,1,12.724334024824202
dense,68,1,14.86200001090765
hybrid,67,1,32.51866600476205
hybrid,22,1,42.747374973259866
bm25,20,1,14.544208068400621
hybrid,26,1,59.18237508740276
dense,15,1,11.237083934247494
bm25,21,1,7.537459023296833
bm25,23,1,10.42129099369049
dense,22,1,12.602375005371869
dense,11,1,14.769333065487444
hybrid,87,1,33.56179199181497
hybrid,5,1,38.591249962337315
bm25,27,1,11.113791959360242
dense,77,1,12.19483301974833
dense,44,1,14.039541012607515
bm25,66,1,11.07429200783372
bm25,59,1,10.45091706328094
bm25,45,1,9.466791991144419
dense,47,1,13.538958970457315
bm25,40,1,13.005500077269971
hybrid,69,1,35.34466598648578
hybrid,81,1,26.36420796625316
hybrid,21,1,32.15179196558893
dense,84,1,20.51229204516858
hybrid,12,1,19.913375028409064
hybrid,59,1,41.99891595635563
bm25,28,1,12.883749906904995
hybrid,27,1,41.47483396809548
dense,70,1,12.04937498550862
hybrid,8,1,50.237584044225514
bm25,100,1,9.582917089574039
dense,65,1,12.488999986089766
dense,61,1,11.040874989703298
bm25,56,1,11.642583995126188
dense,54,1,12.660083011724055
dense,82,1,22.682541981339455
hybrid,18,1,38.62604207824916
hybrid,31,1,51.23525008093566
bm25,48,1,6.147624924778938
hybrid,79,1,39.435834041796625
bm25,90,1,9.37004096340388
bm25,60,1,13.24704207945615
hybrid,49,1,45.849834103137255
bm25,14,1,8.539500064216554
bm25,49,1,12.49708398245275
dense,81,1,12.727917055599391
bm25,84,1,19.503792049363256
bm25,5,1,9.279999998398125
dense,18,1,12.503832927905023
dense,20,1,13.63558298908174
bm25,8,1,13.602041988633573
dense,14,1,13.35349993314594
bm25,32,1,12.46958295814693
dense,71,1,12.666542083024979
bm25,70,1,10.2106659905985
dense,48,1,10.835165972821414
bm25,3,1,11.192791047506034
dense,37,1,18.1426249910146
hybrid,17,1,29.859749949537218
hybrid,57,1,56.54670798685402
bm25,26,1,17.25070900283754
hybrid,58,1,49.883415922522545
bm25,73,1,9.190208977088332
dense,23,1,12.406541965901852
dense,28,1,12.866584002040327
bm25,87,1,8.208666928112507
hybrid,16,1,29.316207976080477
hybrid,77,1,38.10716595035046
hybrid,20,1,50.68333295639604
dense,100,1,11.63166610058397
hybrid,11,1,44.67504203785211
bm25,38,1,8.668583002872765
hybrid,78,1,46.3465410284698
bm25,98,1,7.682750001549721
hybrid,93,1,54.63166593108326
dense,40,1,13.50120804272592
bm25,22,1,11.101749958470464
bm25,68,1,15.325916931033134
dense,38,1,11.232374934479594
dense,31,1,16.71329198870808
hybrid,56,1,42.713041068054736
hybrid,6,1,33.623125054873526
bm25,77,1,10.223040939308703
dense,6,1,10.811957996338606
hybrid,54,1,37.262832978740335
dense,50,1,11.844041990116239
hybrid,72,1,29.174166964367032
dense,19,1,13.244000030681491
dense,72,1,11.608541011810303
hybrid,47,1,42.12124994955957
dense,43,1,13.888375018723309
bm25,29,1,7.815499906428158
bm25,54,1,9.065082995221019
