method_id,query_id,repeat,latency_ms,returned
d_threshold_0.3,9137d00c,1,15.377416042611003,5
d_threshold_0.3,a3f75c4c,3,12.727833003737032,5
d_mmr_1.0_10,501e7331,1,11.699124937877059,5
b_bm25_tuned,a9128898,3,7.663415977731347,5
d_threshold_0.3,037b46e9,3,12.166959000751376,5
a_dense_minilm_500_75,c37dca0a,4,13.648250023834407,5
a_dense_minilm_500_75,6c777e2a,2,14.697834034450352,5
a_dense_minilm_500_75,c3f1f26a,1,12.935375096276402,5
hybrid_rrf_75bm25_25dense,037b46e9,2,22.365500102750957,5
b_bm25_tuned,0faa43e5,0,7.8339590691030025,5
d_mmr_1.0_10,a9128898,3,12.661750079132617,5
d_threshold_0.3,729e9e22,4,10.708291898481548,5
d_threshold_0.3,6c777e2a,4,13.82650004234165,5
d_mmr_1.0_10,f58b0476,3,12.297125067561865,5
d_mmr_1.0_10,81793c8a,1,12.268749997019768,5
a_dense_minilm_500_75,25a25dbe,3,17.387000028975308,5
a_dense_minilm_500_75,3f9c9ea2,1,18.293957924470305,5
hybrid_rrf_75bm25_25dense,af9492a5,1,23.35220796521753,5
d_mmr_1.0_10,67f0bc2a,3,12.932874960824847,5
a_dense_minilm_500_75,af3b122c,2,14.422999927774072,5
a_dense_minilm_500_75,7c6e2326,2,19.501415896229446,5
hybrid_rrf_75bm25_25dense,fa08cbd4,3,23.789500002749264,5
hybrid_rrf_75bm25_25dense,6c8d9611,0,24.265249958261847,5
hybrid_rrf_75bm25_25dense,0faa43e5,0,23.577042040415108,5
a_dense_minilm_500_75,668b927a,4,15.299624996259809,5
d_mmr_1.0_10,0daec318,3,14.113083016127348,5
d_mmr_1.0_10,7b70306c,1,13.541791937313974,5
hybrid_rrf_75bm25_25dense,91a5521c,2,20.294834044761956,5
d_threshold_0.3,88041b7f,1,10.708124958910048,5
b_bm25_tuned,ab7f8163,0,5.246250075288117,5
d_threshold_0.3,a746930b,0,14.284375007264316,5
d_threshold_0.3,631f67f4,0,11.918416945263743,5
d_mmr_1.0_10,8185bded,1,10.463458020240068,5
a_dense_minilm_500_75,9b7ebf3e,2,17.432916909456253,5
d_threshold_0.3,c37dca0a,4,10.313624981790781,5
a_dense_minilm_500_75,c3f1f26a,0,12.923624948598444,5
b_bm25_tuned,1ffb9268,2,11.918500065803528,5
d_mmr_1.0_10,4014ac58,0,11.458749999292195,5
b_bm25_tuned,aeb7fc83,4,6.463874946348369,5
d_threshold_0.3,f5053c04,0,12.916625011712313,5
d_threshold_0.3,71f3292e,4,10.19649999216199,5
hybrid_rrf_75bm25_25dense,6c777e2a,1,19.7077909251675,5
a_dense_minilm_500_75,aeb7fc83,3,18.91254202928394,5
d_threshold_0.3,c64d8ea1,2,11.57195889391005,5
d_threshold_0.3,7c3d731b,4,11.531749973073602,5
a_dense_minilm_500_75,81793c8a,0,11.924040969461203,5
d_threshold_0.3,7b70306c,0,12.347665964625776,5
a_dense_minilm_500_75,67f0bc2a,3,13.5222909739241,5
d_threshold_0.3,501e7331,2,11.481416993774474,5
d_mmr_1.0_10,2afcec04,2,11.88020792324096,5
d_threshold_0.3,21c9dee5,4,14.195333002135158,5
hybrid_rrf_75bm25_25dense,61b75f97,0,24.858416989445686,5
d_threshold_0.3,9ce734db,1,13.298916979692876,5
b_bm25_tuned,4c8043e4,0,8.297124993987381,5
b_bm25_tuned,7d96081d,4,5.312207969836891,5
d_threshold_0.3,7b795372,4,11.125124990940094,5
d_mmr_1.0_10,f58b0476,2,9.081917000003159,5
d_mmr_1.0_10,d45d63d3,0,11.5028329892084,5
b_bm25_tuned,88041b7f,4,8.324041031301022,5
d_mmr_1.0_10,25a25dbe,4,13.251458993181586,5
d_mmr_1.0_10,1b837a04,1,11.111167026683688,5
b_bm25_tuned,9ce734db,1,3.2747919904068112,5
b_bm25_tuned,91a5521c,3,6.345083005726337,5
hybrid_rrf_75bm25_25dense,d568d2e6,0,26.077582966536283,5
hybrid_rrf_75bm25_25dense,2afcec04,0,23.099999991245568,5
d_mmr_1.0_10,ea5f5acc,3,11.190167046152055,5
hybrid_rrf_75bm25_25dense,2f855a96,0,20.28883306775242,5
d_mmr_1.0_10,4c8043e4,0,9.79441695380956,5
d_threshold_0.3,b8f2e37f,2,12.250375002622604,5
hybrid_rrf_75bm25_25dense,6a56ccd8,3,25.43208305723965,5
d_mmr_1.0_10,a3f75c4c,0,12.434792006388307,5
d_mmr_1.0_10,501e7331,4,12.988167000003159,5
d_threshold_0.3,662d106f,0,11.305417050607502,5
hybrid_rrf_75bm25_25dense,4b2547f5,1,19.775875029154122,5
b_bm25_tuned,61b75f97,1,8.797333925031126,5
a_dense_minilm_500_75,037b46e9,0,12.624540948309004,5
hybrid_rrf_75bm25_25dense,88041b7f,0,20.148750045336783,5
hybrid_rrf_75bm25_25dense,ea5f5acc,0,20.11083299294114,5
hybrid_rrf_75bm25_25dense,6c8d9611,3,20.11504105757922,5
d_threshold_0.3,a9128898,2,14.27112496457994,5
d_threshold_0.3,b77b94f8,0,13.197500025853515,5
b_bm25_tuned,0daec318,0,6.182957906275988,5
hybrid_rrf_75bm25_25dense,a9128898,1,22.240000078454614,5
b_bm25_tuned,6c8d9611,4,10.575999971479177,5
d_mmr_1.0_10,2ef8185f,4,12.579458067193627,5
hybrid_rrf_75bm25_25dense,2f855a96,4,20.56587499100715,5
b_bm25_tuned,d1fdc0f4,3,5.139583954587579,5
b_bm25_tuned,7b70306c,0,5.67504100035876,5
hybrid_rrf_75bm25_25dense,2ef8185f,3,20.687917014583945,5
b_bm25_tuned,8185bded,4,2.439624979160726,5
d_mmr_1.0_10,65f007c7,2,10.006000055000186,5
